run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
38,58.96977208743398,78.30866158098017,2256.0665748711654,1.2251201464105965,0.07266485323720381,10.762291756238604,61,792.0864693424228,4,60.1
39,57.715242088495316,72.93042001899988,2319.5909848819183,0.9818330453066769,0.04783735405629504,11.801122018497551,58,1023.0057470419605,4,45.1
40,64.52238890281788,76.25931084560088,2358.965143720508,1.1747046089437565,0.06271249888409212,10.361993617170974,42,1152.8854401862604,4,50.6
41,58.82922648793684,84.83790670677558,2569.791168912537,1.1573170206890326,0.06060124241004318,8.913319005765082,53,966.5402100261074,4,54.7
42,59.48034205220206,86.07002456975869,2435.9155219679897,1.3639375187924943,0.07098825064736922,9.297617354427834,57,896.3984667699608,4,61.0
43,57.42227305792361,71.26619746593492,2374.052279689462,1.2833535141449037,0.052845994294079074,9.547018798256868,72,829.7148301823404,4,53.2
44,62.042827807382935,71.17673774211426,2352.361775177461,1.3739969695929237,0.06970752243756677,10.48545375594757,60,1049.2747552354335,4,60.5
45,62.35326018463233,82.78858845958663,2363.175082972993,1.2192075741184993,0.04437782509194764,7.405423560630006,89,1047.1359566123087,4,40.4
46,62.7317768473594,78.31973464461392,2242.88861640338,1.38765715101747,0.05270691984477461,11.638169261144563,85,940.5197721782877,4,45.8
47,60.765047373630374,84.28927939597543,2682.488650053317,1.17063174785396,0.06571423918486072,9.904416707839253,87,1011.554412409313,5,57.2
48,59.934283838023546,69.78924314703924,2362.540840691176,1.149983873685773,0.05052810510703145,7.384547997121802,87,946.763619558875,6,46.2
49,56.54605172099911,76.63577950606731,2511.685283460505,1.1563533322921482,0.0894509628405059,10.878078650146671,84,998.2803514164118,4,78.2
50,65.79832828073728,84.16575803000588,2254.8455881431096,1.0399621656977536,0.07899084902881319,12.948025589215339,42,1109.4320661664951,4,54.5
